Yayasan,NPSN,Nama,Jenjang,Kecamatan,Kabupaten,Provinsi
65,20613524,SMAS Tarakanita Gading Serpong,SMA,Kec. Kelapa Dua,Kab. Tangerang,Prov. Banten
65,20615406,TK Tarakanita,TK,Kec. Panongan,Kab. Tangerang,Prov. Banten
65,20604651,SDS Tarakanita Citra Raya,SD,Kec. Panongan,Kab. Tangerang,Prov. Banten
65,20613461,SMP Tarakanita Citra Raya,SMP,Kec. Panongan,Kab. Tangerang,Prov. Banten
65,20616138,SMAS Tarakanita Citra Raya,SMA,Kec. Panongan,Kab. Tangerang,Prov. Banten
64,  69820327,TK Santo Paulus I,TK,Kec. Gambir,Kota Adm. Jakarta Pusat,Prov. D.K.I. Jakarta
64,  20104819,SD S Santo Paulus 1,SD,Kec. Gambir,Kota Adm. Jakarta Pusat,Prov. D.K.I. Jakarta
64,  20106429,SMP St Paulus,SMP,Kec. Gambir,Kota Adm. Jakarta Pusat,Prov. D.K.I. Jakarta
64,  20100179,SMAS Santo Paulus Jakarta,SMA,Kec. Gambir,Kota Adm. Jakarta Pusat,Prov. D.K.I. Jakarta
64,  20100301,SMKS Santo Paulus,SMK,Kec. Gambir,Kota Adm. Jakarta Pusat,Prov. D.K.I. Jakarta
64,  20111252,TK Santo Paulus,TK,Kec. Kali Deres,Kota Adm. Jakarta Barat,Prov. D.K.I. Jakarta
64,  20105761,SDS Santo Paulus Ii,SD,Kec. Kali Deres,Kota Adm. Jakarta Barat,Prov. D.K.I. Jakarta
64,  69981898,SMP Santo Paulus Ii,SMP,Kec. Kali Deres,Kota Adm. Jakarta Barat,Prov. D.K.I. Jakarta
64,  69762149,TK Santo Paulus Iii,TK,Kec. Batuceper,Kota Tangerang,Prov. Banten
64,  20614539,SD Santo Paulus Iii,SD,Kec. Batuceper,Kota Tangerang,Prov. Banten
2,  20112170,TK Santo Vincetius,TK,Kec. Jatinegara,Kota Adm. Jakarta Timur,Prov. D.K.I. Jakarta
2,  20108433,SDS Santo Vincentius,SD,Kec. Jatinegara,Kota Adm. Jakarta Timur,Prov. D.K.I. Jakarta
2,  20107153,SMP St Vincentius,SMP,Kec. Jatinegara,Kota Adm. Jakarta Timur,Prov. D.K.I. Jakarta
15,  20109688,TK Santo Fransiskus,TK,Kec. Pulo Gadung,Kota Adm. Jakarta Timur,Prov. D.K.I. Jakarta
15,  20109032,SD Santo Fransiskus Iii,SD,Kec. Pulo Gadung,Kota Adm. Jakarta Timur,Prov. D.K.I. Jakarta
15,  20108988,SMP St Fransiskus Ii Jakarta,SMP,Kec. Pulo Gadung,Kota Adm. Jakarta Timur,Prov. D.K.I. Jakarta
17,,TK Santa Maria Fatima,TK,Kec. Jatinegara,Kota Adm. Jakarta Timur,Prov. D.K.I. Jakarta
17,  20103907,SD Santa Maria Fatima,SD,Kec. Jatinegara,Kota Adm. Jakarta Timur,Prov. D.K.I. Jakarta
17,  20107152,SMP Santa Maria Fatima,SMP,Kec. Jatinegara,Kota Adm. Jakarta Timur,Prov. D.K.I. Jakarta
36,  20109958,TK Ignatius Slamet Riyadi,TK,Kec. Pasar Rebo,Kota Adm. Jakarta Timur,Prov. D.K.I. Jakarta
