Yayasan,NPSN,Nama,Jenjang,Kecamatan,Kabupaten,Provinsi
1,20104421,SMAS Katolik Abdi Siswa,SMA,Kec. Kebon Jeruk,Kota Adm. Jakarta Barat,Prov. D.K.I. Jakarta
1,20106717,SMP Abdi Siswa,SMP,Kec. Kebon Jeruk,Kota Adm. Jakarta Barat,Prov. D.K.I. Jakarta
1,69832169,TK Abdi Siswa Ii,TK,Kec. Kembangan,Kota Adm. Jakarta Barat,Prov. D.K.I. Jakarta
1,20109317,SDS Abdi Siswa,SD,Kec. Kembangan,Kota Adm. Jakarta Barat,Prov. D.K.I. Jakarta
1,69920667,SMP Katolik Abdi Siswa Ii,SMP,Kec. Kembangan,Kota Adm. Jakarta Barat,Prov. D.K.I. Jakarta
1,20616321,SD Abdi Siswa Bintaro,SD,Kec. Serpong Utara,Kota Tangerang Selatan,Prov. Banten
1,69755969,TKS Abdi Siswa Bintaro,TK,Kec. Serpong Utara,Kota Tangerang Selatan,Prov. Banten
1,69818816,KB Abdi Siswa Bintaro,KB,Kec. Serpong Utara,Kota Tangerang Selatan,Prov. Banten
1,69957469,SMP Abdi Siswa Bintaro,SMP,Kec. Serpong Utara,Kota Tangerang Selatan,Prov. Banten
1,70000531,SMA Abdi Siswa Bintaro,SMA,Kec. Serpong Utara,Kota Tangerang Selatan,Prov. Banten
60,  20111258,TK Seraphine Bakti Utama,TK,Kec. Cengkareng,Kota Adm. Jakarta Barat,Prov. D.K.I. Jakarta
60,  20105765,SDS Seraphine Bakti Utama,SD,Kec. Cengkareng,Kota Adm. Jakarta Barat,Prov. D.K.I. Jakarta
60,  20106879,SMP Seraphine Bhakti Utama,SMP,Kec. Cengkareng,Kota Adm. Jakarta Barat,Prov. D.K.I. Jakarta
12,70025781,KB Tarsisius I,KB,Kec. Gambir,Kota Adm. Jakarta Pusat,Prov. D.K.I. Jakarta
12,69820384,TK Tarsisius I,TK,Kec. Gambir,Kota Adm. Jakarta Pusat,Prov. D.K.I. Jakarta
12,20104828,SDS Tarsisius I,SD,Kec. Gambir,Kota Adm. Jakarta Pusat,Prov. D.K.I. Jakarta
12,20100245,SMP Tarsisius 1,SMP,Kec. Gambir,Kota Adm. Jakarta Pusat,Prov. D.K.I. Jakarta
12,20100197,SMAS Tarsisius 1 Jakarta,SMA,Kec. Gambir,Kota Adm. Jakarta Pusat,Prov. D.K.I. Jakarta
12,69832178,TK Tarsisius Ii,TK,Kec. Kebon Jeruk,Kota Adm. Jakarta Barat,Prov. D.K.I. Jakarta
12,20105779,SDS Tarsisius Ii,SD,Kec. Kebon Jeruk,Kota Adm. Jakarta Barat,Prov. D.K.I. Jakarta
12,20106891,SMP Tarsisius Ii,SMP,Kec. Kebon Jeruk,Kota Adm. Jakarta Barat,Prov. D.K.I. Jakarta
12,20101610,SMAS  Tarsisius Ii,SMA,Kec. Kebon Jeruk,Kota Adm. Jakarta Barat,Prov. D.K.I. Jakarta
12,69832195,TK Damai,TK,Kec. Tambora,Kota Adm. Jakarta Barat,Prov. D.K.I. Jakarta
12,20105648,SD Damai,SD,Kec. Tambora,Kota Adm. Jakarta Barat,Prov. D.K.I. Jakarta
